pin,district,state
831013,SARAIKELA KHARSAWAN,JHARKHAND
494777,KANKER,CHHATTISGARH
516454,Y.S.R.,ANDHRA PRADESH
244922,RAMPUR,UTTAR PRADESH
521260,KRISHNA,ANDHRA PRADESH
600126,CHENGALPATTU,TAMIL NADU
695011,THIRUVANANTHAPURAM,KERALA
853204,BHAGALPUR,BIHAR
182221,DODA,JAMMU AND KASHMIR
535148,VIZIANAGARAM,ANDHRA PRADESH
584102,RAICHUR,KARNATAKA
583233,KOPPAL,KARNATAKA
625004,MADURAI,TAMIL NADU
641603,TIRUPPUR,TAMIL NADU
631207,THIRUVALLUR,TAMIL NADU
683546,ERNAKULAM,KERALA
686515,KOTTAYAM,KERALA
713130,PURBA BARDHAMAN,WEST BENGAL
691334,KOLLAM,KERALA
413102,PUNE,MAHARASHTRA
643243,THE NILGIRIS,TAMIL NADU
385565,BANAS KANTHA,GUJARAT
416231,KOLHAPUR,MAHARASHTRA
415413,SANGLI,MAHARASHTRA
627002,TIRUNELVELI,TAMIL NADU
231304,MIRZAPUR,UTTAR PRADESH
410403,PUNE,MAHARASHTRA
394163,SURAT,GUJARAT
786613,DIBRUGARH,ASSAM
792103,NAMSAI,ARUNACHAL PRADESH
522238,GUNTUR,ANDHRA PRADESH
560008,BENGALURU URBAN,KARNATAKA
700023,KOLKATA,WEST BENGAL
301024,ALWAR,RAJASTHAN
713201,PASCHIM BARDHAMAN,WEST BENGAL
495006,BILASPUR,CHHATTISGARH
686671,ERNAKULAM,KERALA
502281,SIDDIPET,TELANGANA
624707,DINDIGUL,TAMIL NADU
560016,BENGALURU URBAN,KARNATAKA
605108,VILLUPURAM,TAMIL NADU
625530,THENI,TAMIL NADU
700149,24 PARAGANAS SOUTH,WEST BENGAL
642004,COIMBATORE,TAMIL NADU
362245,JUNAGADH,GUJARAT
742135,MURSHIDABAD,WEST BENGAL
243407,BAREILLY,UTTAR PRADESH
855115,KISHANGANJ,BIHAR
670009,KANNUR,KERALA
524318,SPSR NELLORE,ANDHRA PRADESH
845449,PASHCHIM CHAMPARAN,BIHAR
743701,24 PARAGANAS NORTH,WEST BENGAL
637020,NAMAKKAL,TAMIL NADU
415524,SATARA,MAHARASHTRA
534236,WEST GODAVARI,ANDHRA PRADESH
243751,SAMBHAL,UTTAR PRADESH
143107,AMRITSAR,PUNJAB
209732,KANNAUJ,UTTAR PRADESH
585316,KALABURAGI,KARNATAKA
680317,THRISSUR,KERALA
500049,MEDCHAL MALKAJGIRI,TELANGANA
781327,BAKSA,ASSAM
488001,PANNA,MADHYA PRADESH
495220,BILASPUR,CHHATTISGARH
670331,KANNUR,KERALA
522001,GUNTUR,ANDHRA PRADESH
262528,CHAMPAWAT,UTTARAKHAND
814157,DEOGHAR,JHARKHAND
515581,ANANTAPUR,ANDHRA PRADESH
591248,BELAGAVI,KARNATAKA
152101,SRI MUKTSAR SAHIB,PUNJAB
509203,NAGARKURNOOL,TELANGANA
495448,KORBA,CHHATTISGARH
743252,24 PARAGANAS NORTH,WEST BENGAL
522510,GUNTUR,ANDHRA PRADESH
766027,KALAHANDI,ODISHA
721145,MEDINIPUR WEST,WEST BENGAL
531163,VISAKHAPATANAM,ANDHRA PRADESH
641018,COIMBATORE,TAMIL NADU
522268,GUNTUR,ANDHRA PRADESH
123035,REWARI,HARYANA
488220,PANNA,MADHYA PRADESH
322028,SAWAI MADHOPUR,RAJASTHAN
574201,DAKSHINA KANNADA,KARNATAKA
303807,JAIPUR,RAJASTHAN
731302,BIRBHUM,WEST BENGAL
638315,ERODE,TAMIL NADU
535260,VIZIANAGARAM,ANDHRA PRADESH
632516,Ranipet,TAMIL NADU
796310,KHAWZAWL,MIZORAM
387310,ANAND,GUJARAT
211003,PRAYAGRAJ,UTTAR PRADESH
504202,Nirmal,TELANGANA
700066,KOLKATA,WEST BENGAL
803115,NALANDA,BIHAR
843334,SHEOHAR,BIHAR
515435,ANANTAPUR,ANDHRA PRADESH
131403,SONIPAT,HARYANA
193101,BARAMULLA,JAMMU AND KASHMIR
247121,SAHARANPUR,UTTAR PRADESH
344031,BARMER,RAJASTHAN
494449,DANTEWADA,CHHATTISGARH
581319,UTTARA KANNADA,KARNATAKA
679563,THRISSUR,KERALA
732103,MALDAH,WEST BENGAL
147008,PATIALA,PUNJAB
