pin,sub_district,district,state
110003,Defence Colony,SOUTH EAST DELHI,DELHI
110014,Defence Colony,SOUTH EAST DELHI,DELHI
110020,Defence Colony,SOUTH EAST DELHI,DELHI
110025,Defence Colony,SOUTH EAST DELHI,DELHI
110036,Alipur,NORTH DELHI,DELHI
110039,Narela,NORTH DELHI,DELHI
110040,Narela,NORTH DELHI,DELHI
110042,Alipur,NORTH DELHI,DELHI
110044,Kalkaji,SOUTH EAST DELHI,DELHI
110046,Rajouri Garden,WEST DELHI,DELHI
110049,Defence Colony,SOUTH EAST DELHI,DELHI
110054,Alipur,NORTH DELHI,DELHI
110056,Saraswati Vihar,NORTH WEST DELHI,DELHI
110062,Hauz Khas,SOUTH DELHI,DELHI
110071,Najafgarh,SOUTH WEST DELHI,DELHI
110076,Kalkaji,SOUTH EAST DELHI,DELHI
110085,Rohini,NORTH WEST DELHI,DELHI
110086,Rohini,NORTH WEST DELHI,DELHI
110090,Karawal Nagar,NORTH EAST DELHI,DELHI
121001,Faridabad,FARIDABAD,HARYANA
121002,Faridabad,FARIDABAD,HARYANA
121003,Faridabad,FARIDABAD,HARYANA
121004,Ballabgarh,FARIDABAD,HARYANA
121005,Faridabad,FARIDABAD,HARYANA
121006,Faridabad,FARIDABAD,HARYANA
121007,Faridabad,FARIDABAD,HARYANA
121008,Faridabad,FARIDABAD,HARYANA
121009,Faridabad,FARIDABAD,HARYANA
121010,Faridabad,FARIDABAD,HARYANA
121012,Faridabad,FARIDABAD,HARYANA
121013,Faridabad,FARIDABAD,HARYANA
121101,Faridabad,FARIDABAD,HARYANA
121102,Palwal,FARIDABAD,HARYANA
121103,Hathin,FARIDABAD,HARYANA
121105,Palwal,FARIDABAD,HARYANA
121106,Hodal,FARIDABAD,HARYANA
121107,Hodal,FARIDABAD,HARYANA
122001,Gurgaon,GURGAON,HARYANA
122002,Gurgaon,GURGAON,HARYANA
122003,Gurgaon,GURGAON,HARYANA
122004,Gurgaon,GURGAON,HARYANA
122005,Gurgaon,GURGAON,HARYANA
122006,Gurgaon,GURGAON,HARYANA
122007,Gurgaon,GURGAON,HARYANA
122008,Gurgaon,GURGAON,HARYANA
122009,Gurgaon,GURGAON,HARYANA
122010,Gurgaon,GURGAON,HARYANA
122011,Gurgaon,GURGAON,HARYANA
122015,Gurgaon,GURGAON,HARYANA
122016,Gurgaon,GURGAON,HARYANA
122017,Gurgaon,GURGAON,HARYANA
122018,Gurgaon,GURGAON,HARYANA
122051,Gurgaon,GURGAON,HARYANA
122052,Gurgaon,GURGAON,HARYANA
122101,Gurgaon,GURGAON,HARYANA
122102,Sohna,GURGAON,HARYANA
122103,Sohna,GURGAON,HARYANA
122104,Ferozepur Jhirka,GURGAON,HARYANA
122105,Taoru,GURGAON,HARYANA
122107,Nuh,GURGAON,HARYANA
122108,Ferozepur Jhirka,GURGAON,HARYANA
122413,Gurgaon,GURGAON,HARYANA
122414,Pataudi,GURGAON,HARYANA
122502,Pataudi,GURGAON,HARYANA
122503,Pataudi,GURGAON,HARYANA
122504,Gurgaon,GURGAON,HARYANA
122505,Gurgaon,GURGAON,HARYANA
122506,Gurgaon,GURGAON,HARYANA
122508,Punahana,GURGAON,HARYANA
123001,Narnaul,MAHENDRAGARH,HARYANA
123021,Narnaul,MAHENDRAGARH,HARYANA
123023,Narnaul,MAHENDRAGARH,HARYANA
123024,Mahendragarh,MAHENDRAGARH,HARYANA
123027,Mahendragarh,MAHENDRAGARH,HARYANA
123028,Mahendragarh,MAHENDRAGARH,HARYANA
123029,Mahendragarh,MAHENDRAGARH,HARYANA
123034,Mahendragarh,MAHENDRAGARH,HARYANA
123035,Rewari,REWARI,HARYANA
123101,Rewari,REWARI,HARYANA
123102,Rewari,REWARI,HARYANA
123103,Rewari,REWARI,HARYANA
123106,Rewari,REWARI,HARYANA
123110,Rewari,REWARI,HARYANA
123301,Kosli,REWARI,HARYANA
123302,Kosli,REWARI,HARYANA
123303,Kosli,REWARI,HARYANA
123401,Rewari,REWARI,HARYANA
123411,Rewari,REWARI,HARYANA
123412,Bawal,REWARI,HARYANA
123501,Bawal,REWARI,HARYANA
124001,Rohtak,ROHTAK,HARYANA
124010,Rohtak,ROHTAK,HARYANA
124021,Rohtak,ROHTAK,HARYANA
124022,Maham,ROHTAK,HARYANA
124102,Beri,JHAJJAR,HARYANA
124103,Jhajjar,JHAJJAR,HARYANA
124104,Jhajjar,JHAJJAR,HARYANA
124105,Jhajjar,JHAJJAR,HARYANA
124106,Jhajjar,JHAJJAR,HARYANA
124107,Beri,JHAJJAR,HARYANA
124108,Jhajjar,JHAJJAR,HARYANA
124109,Jhajjar,JHAJJAR,HARYANA
124111,Maham,ROHTAK,HARYANA
124112,Maham,ROHTAK,HARYANA
124113,Rohtak,ROHTAK,HARYANA
124141,Jhajjar,JHAJJAR,HARYANA
124142,Jhajjar,JHAJJAR,HARYANA
124146,Jhajjar,JHAJJAR,HARYANA
124201,Beri,JHAJJAR,HARYANA
124202,Beri,JHAJJAR,HARYANA
124303,Rohtak,ROHTAK,HARYANA
124401,Rohtak,ROHTAK,HARYANA
124404,Rohtak,ROHTAK,HARYANA
124406,Rohtak,ROHTAK,HARYANA
124411,Rohtak,ROHTAK,HARYANA
124412,Rohtak,ROHTAK,HARYANA
124501,Rohtak,ROHTAK,HARYANA
124504,Bahadurgarh,JHAJJAR,HARYANA
124505,Bahadurgarh,JHAJJAR,HARYANA
124506,Bahadurgarh,JHAJJAR,HARYANA
124507,Bahadurgarh,JHAJJAR,HARYANA
124508,Bahadurgarh,JHAJJAR,HARYANA
124513,Maham,ROHTAK,HARYANA
124514,Rohtak,ROHTAK,HARYANA
125001,Hisar,HISAR,HARYANA
125004,Hisar,HISAR,HARYANA
125005,Hisar,HISAR,HARYANA
125006,Hisar,HISAR,HARYANA
125007,Hisar,HISAR,HARYANA
125011,Hisar,HISAR,HARYANA
125033,Hansi,HISAR,HARYANA
125037,Hisar,HISAR,HARYANA
125038,Hansi,HISAR,HARYANA
125039,Narnaund,HISAR,HARYANA
125042,Hansi,HISAR,HARYANA
125044,Hisar,HISAR,HARYANA
125047,Hisar,HISAR,HARYANA
125048,Fatehabad,FATEHABAD,HARYANA
125049,Hansi,HISAR,HARYANA
125050,Fatehabad,FATEHABAD,HARYANA
125051,Ratia,FATEHABAD,HARYANA
125052,Adampur,HISAR,HARYANA
125053,Fatehabad,FATEHABAD,HARYANA
125054,Sirsa,SIRSA,HARYANA
125055,Sirsa,SIRSA,HARYANA
125058,Sirsa,SIRSA,HARYANA
125060,Sirsa,SIRSA,HARYANA
125075,Sirsa,SIRSA,HARYANA
125076,Rania,SIRSA,HARYANA
125077,Sirsa,SIRSA,HARYANA
125078,Sirsa,SIRSA,HARYANA
125101,Dabwali,SIRSA,HARYANA
125102,Ellenabad,SIRSA,HARYANA
125103,Dabwali,SIRSA,HARYANA
125104,Dabwali,SIRSA,HARYANA
125106,Tohana,FATEHABAD,HARYANA
125110,Sirsa,SIRSA,HARYANA
125111,Fatehabad,FATEHABAD,HARYANA
125112,Hisar,HISAR,HARYANA
125113,Hisar,HISAR,HARYANA
125120,Tohana,FATEHABAD,HARYANA
125121,Hisar,HISAR,HARYANA
125133,Tohana,FATEHABAD,HARYANA
125201,Sirsa,SIRSA,HARYANA
126101,Julana,JIND,HARYANA
126102,Jind,JIND,HARYANA
126110,Jind,JIND,HARYANA
126111,Jind,JIND,HARYANA
126112,Safidon,JIND,HARYANA
126113,Safidon,JIND,HARYANA
126114,Jind,JIND,HARYANA
126115,Narwana,JIND,HARYANA
126116,Narwana,JIND,HARYANA
126125,Jind,JIND,HARYANA
126152,Narwana,JIND,HARYANA
127021,Bhiwani,BHIWANI,HARYANA
127022,Dadri,BHIWANI,HARYANA
127025,Dadri,BHIWANI,HARYANA
127026,Dadri,BHIWANI,HARYANA
127027,Bhiwani,BHIWANI,HARYANA
127028,Loharu,BHIWANI,HARYANA
127029,Bhiwani,BHIWANI,HARYANA
127030,Bhiwani,BHIWANI,HARYANA
127031,Bhiwani,BHIWANI,HARYANA
127032,Bawani Khera,BHIWANI,HARYANA
127035,Bawani Khera,BHIWANI,HARYANA
127040,Tosham,BHIWANI,HARYANA
127041,Bhiwani,BHIWANI,HARYANA
127042,Dadri,BHIWANI,HARYANA
127043,Tosham,BHIWANI,HARYANA
127045,Siwani,BHIWANI,HARYANA
127046,Siwani,BHIWANI,HARYANA
127111,Bhiwani,BHIWANI,HARYANA
127114,Bhiwani,BHIWANI,HARYANA
127201,Loharu,BHIWANI,HARYANA
127306,Dadri,BHIWANI,HARYANA
